Id,Speaker,TextKey,Image,Continue,NextID,Responses,BranchID,,,,,,,,,,,,,,,,,
BREAK,BREAK,BREAK,BREAK,BREAK,BREAK,BREAK,BREAK,,,,,,,,,,,,,,,,,
0-1,Coobert,AHHHHHHH!,Coobert_Scared,0-1,0-2,( . . . ),0-2,,,,,,,,,,,,,,,,,
0-2,Coobert,Oh-- It's you! You have to stop scaring the feathers off me!,Coobert_Startled,0-2,0-3,( . . . ),0-3,,,,,,,,,,,,,,,,,
0-3,Coobert,Almost ruined my hiding spot as well!! Those humans over there knocked the plumage off me!,Coobert_Normal,0-3,0-4,( . . . ),0-4,,,,,,,,,,,,,,,,,
0-4,Coobert,Did you know that legend says we once helped humans? Carried mail thousands of kilometers for them!,Coobert_Normal,0-4,0-5,( . . . ),0-5,,,,,,,,,,,,,,,,,
0-5,Coobert,We were heroes! Sky messengers! Tiny feathery delivery legends!,Coobert_Normal,0-5,0-6,( . . . ),0-6,,,,,,,,,,,,,,,,,
0-6,Coobert,Sounds crazy. I know. Now they mostly just chase and yell at us. Soo SCARY! Humans are unpredictable.,Coobert_Normal,0-6,0-8,( . . . ),0-7,,,,,,,,,,,,,,,,,
0-7,Coobert,They tend to throw things..kick.. or chase you if they spot you. So when you wanna be invisible… you gotta sneak.,Coobert_Normal,0-7,0-9,( . . . ),0-8,,,,,,,,,,,,,,,,,
0-8,Coobert,Hold down LEFT CTRL OR LEFT BUMPER and move slowly. Stay behind stuff. Boxes. Benches. Fences. Decorative shrubbery.,Coobert_Normal,0-8,0-10,( . . . ),0-9,,,,,,,,,,,,,,,,,
0-9,Coobert,To sprint hold down the LEFT SHIFT OR L3.  It will take you out of the stealth mode so be speedy!!  If you see something you want… snatch it up with F.,Coobert_Normal,0-9,0-11,( . . . ),0-10,,,,,,,,,,,,,,,,,
0-10,Coobert,Feeling confident?  I need some help. I dropped this sweet KEYCHAIN inside the THEATRE! And it’s crowded with people!,Coobert_Normal,0-10,0-11,( . . . ),0-11,,,,,,,,,,,,,,,,,
0-11,Coobert,If you can grab it I'll let you keep it! Maybe you'll find some use for it later.,Coobert_Normal,0-11,0-12|0-13,Sure|I don't think so…,0-12|0-13,,,,,,,,,,,,,,,,,
0-12,Coobert,Try to sneak past the humans. If they see you… you better move those little feet!,Coobert_Happy,0-12,0-14,BREAK,BREAK,,,,,,,,,,,,,,,,,
